Sample in Buffer,Sample in Window,TRIGGER,tsm_I_1[11:0],tsm_Q_1[11:0],tsm_I[11:0],tsm_Q[11:0],rev_I[11:0],rev_Q[11:0],rev_valid_1,rev_valid_2,rev_valid_3,rev_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,SIGNED,SIGNED,HEX,HEX,HEX,HEX
0,0,0,ffe,7fe,ffe,7fe,1347,1089,1,1,1,1
1,1,0,ffe,7fe,ffe,7fe,95,680,1,1,1,1
2,2,0,802,ffe,802,ffe,-676,-78,1,1,1,1
3,3,0,002,802,002,802,-1436,-938,1,1,1,1
4,4,0,002,802,002,802,-1587,-1312,1,1,1,1
5,5,0,7fe,002,7fe,002,-1232,-331,1,1,1,1
6,6,0,7fe,002,7fe,002,-1086,344,1,1,1,1
7,7,0,ffe,7fe,ffe,7fe,-1380,-624,1,1,1,1
8,8,0,ffe,7fe,ffe,7fe,-1226,-1394,1,1,1,1
9,9,0,802,ffe,802,ffe,745,-333,1,1,1,1
10,10,0,802,ffe,802,ffe,2047,729,1,1,1,1
11,11,0,002,802,002,802,1355,1115,1,1,1,1
12,12,0,002,802,002,802,76,636,1,1,1,1
13,13,0,7fe,002,7fe,002,-710,92,1,1,1,1
14,14,0,7fe,002,7fe,002,-1223,-37,1,1,1,1
15,15,0,ffe,7fe,ffe,7fe,-1462,-697,1,1,1,1
16,16,0,ffe,7fe,ffe,7fe,-1196,-1341,1,1,1,1
17,17,0,802,ffe,802,ffe,639,-179,1,1,1,1
18,18,0,002,802,002,802,1484,1346,1,1,1,1
19,19,0,002,802,002,802,337,906,1,1,1,1
20,20,0,802,ffe,802,ffe,-776,-39,1,1,1,1
21,21,0,802,ffe,802,ffe,-1264,-56,1,1,1,1
22,22,0,002,802,002,802,-1452,-679,1,1,1,1
23,23,0,002,802,002,802,-1200,-1319,1,1,1,1
24,24,0,7fe,002,7fe,002,764,-345,1,1,1,1
25,25,0,7fe,002,7fe,002,2047,702,1,1,1,1
26,26,0,ffe,7fe,ffe,7fe,1322,1122,1,1,1,1
27,27,0,ffe,7fe,ffe,7fe,68,663,1,1,1,1
28,28,0,802,ffe,802,ffe,-704,62,1,1,1,1
29,29,0,802,ffe,802,ffe,-1227,-31,1,1,1,1
30,30,0,002,802,002,802,-1442,-694,1,1,1,1
31,31,0,002,802,002,802,-1201,-1361,1,1,1,1
32,32,0,7fe,002,7fe,002,613,-186,1,1,1,1
33,33,0,ffe,7fe,ffe,7fe,1497,1368,1,1,1,1
34,34,0,ffe,7fe,ffe,7fe,615,799,1,1,1,1
35,35,0,802,ffe,802,ffe,1198,-582,1,1,1,1
36,36,0,802,ffe,802,ffe,2047,-221,1,1,1,1
37,37,0,002,802,002,802,1282,1068,1,1,1,1
38,38,0,002,802,002,802,131,850,1,1,1,1
39,39,0,7fe,002,7fe,002,-689,31,1,1,1,1
40,40,0,7fe,002,7fe,002,-1273,-39,1,1,1,1
41,41,0,ffe,7fe,ffe,7fe,-1458,-665,1,1,1,1
42,42,0,ffe,7fe,ffe,7fe,-1175,-1321,1,1,1,1
43,43,0,802,ffe,802,ffe,750,-347,1,1,1,1
44,44,0,802,ffe,802,ffe,2047,730,1,1,1,1
45,45,0,002,802,002,802,1337,1101,1,1,1,1
46,46,0,002,802,002,802,64,690,1,1,1,1
47,47,0,7fe,002,7fe,002,-657,-71,1,1,1,1
48,48,0,ffe,7fe,ffe,7fe,-1473,-930,1,1,1,1
49,49,0,ffe,7fe,ffe,7fe,-1289,-1326,1,1,1,1
50,50,0,7fe,002,7fe,002,790,-322,1,1,1,1
51,51,0,7fe,002,7fe,002,2047,735,1,1,1,1
52,52,0,ffe,7fe,ffe,7fe,1333,1083,1,1,1,1
53,53,0,ffe,7fe,ffe,7fe,71,666,1,1,1,1
54,54,0,802,ffe,802,ffe,-698,86,1,1,1,1
55,55,0,802,ffe,802,ffe,-1244,-37,1,1,1,1
56,56,0,002,802,002,802,-1461,-699,1,1,1,1
57,57,0,002,802,002,802,-1163,-1303,1,1,1,1
58,58,0,7fe,002,7fe,002,746,-361,1,1,1,1
59,59,0,7fe,002,7fe,002,2047,731,1,1,1,1
60,60,0,ffe,7fe,ffe,7fe,1344,1096,1,1,1,1
61,61,0,ffe,7fe,ffe,7fe,100,684,1,1,1,1
62,62,0,802,ffe,802,ffe,-678,-78,1,1,1,1
63,63,0,002,802,002,802,-1427,-925,1,1,1,1
64,64,0,002,802,002,802,-1582,-1323,1,1,1,1
65,65,0,7fe,002,7fe,002,-1250,-360,1,1,1,1
66,66,0,7fe,002,7fe,002,-1075,380,1,1,1,1
67,67,0,ffe,7fe,ffe,7fe,-1377,-633,1,1,1,1
68,68,0,ffe,7fe,ffe,7fe,-1255,-1400,1,1,1,1
69,69,0,802,ffe,802,ffe,757,-350,1,1,1,1
70,70,0,802,ffe,802,ffe,2047,751,1,1,1,1
71,71,0,002,802,002,802,1356,1060,1,1,1,1
72,72,0,002,802,002,802,62,709,1,1,1,1
73,73,0,7fe,002,7fe,002,-670,83,1,1,1,1
74,74,0,7fe,002,7fe,002,-1218,-47,1,1,1,1
75,75,0,ffe,7fe,ffe,7fe,-1473,-685,1,1,1,1
76,76,0,ffe,7fe,ffe,7fe,-1139,-1360,1,1,1,1
77,77,0,802,ffe,802,ffe,598,-207,1,1,1,1
78,78,0,002,802,002,802,1471,1386,1,1,1,1
79,79,0,002,802,002,802,375,918,1,1,1,1
80,80,0,802,ffe,802,ffe,-799,-24,1,1,1,1
81,81,0,802,ffe,802,ffe,-1240,-66,1,1,1,1
82,82,0,002,802,002,802,-1435,-675,1,1,1,1
83,83,0,002,802,002,802,-1207,-1319,1,1,1,1
84,84,0,7fe,002,7fe,002,747,-368,1,1,1,1
85,85,0,7fe,002,7fe,002,2047,708,1,1,1,1
86,86,0,ffe,7fe,ffe,7fe,1315,1095,1,1,1,1
87,87,0,ffe,7fe,ffe,7fe,89,657,1,1,1,1
88,88,0,802,ffe,802,ffe,-669,81,1,1,1,1
89,89,0,802,ffe,802,ffe,-1219,-39,1,1,1,1
90,90,0,002,802,002,802,-1471,-706,1,1,1,1
91,91,0,002,802,002,802,-1190,-1329,1,1,1,1
92,92,0,7fe,002,7fe,002,633,-193,1,1,1,1
93,93,0,ffe,7fe,ffe,7fe,1488,1357,1,1,1,1
94,94,0,ffe,7fe,ffe,7fe,629,828,1,1,1,1
95,95,0,802,ffe,802,ffe,1185,-586,1,1,1,1
96,96,0,802,ffe,802,ffe,2047,-249,1,1,1,1
97,97,0,002,802,002,802,1301,1112,1,1,1,1
98,98,0,002,802,002,802,128,820,1,1,1,1
99,99,0,7fe,002,7fe,002,-697,15,1,1,1,1
100,100,0,7fe,002,7fe,002,-1221,-49,1,1,1,1
101,101,0,ffe,7fe,ffe,7fe,-1457,-701,1,1,1,1
102,102,0,ffe,7fe,ffe,7fe,-1207,-1327,1,1,1,1
103,103,0,802,ffe,802,ffe,772,-356,1,1,1,1
104,104,0,802,ffe,802,ffe,2047,729,1,1,1,1
105,105,0,002,802,002,802,1320,1088,1,1,1,1
106,106,0,002,802,002,802,94,685,1,1,1,1
107,107,0,7fe,002,7fe,002,-638,-53,1,1,1,1
108,108,0,ffe,7fe,ffe,7fe,-1471,-961,1,1,1,1
109,109,0,ffe,7fe,ffe,7fe,-1313,-1308,1,1,1,1
110,110,0,7fe,002,7fe,002,803,-294,1,1,1,1
111,111,0,7fe,002,7fe,002,2047,699,1,1,1,1
112,112,0,ffe,7fe,ffe,7fe,1322,1098,1,1,1,1
113,113,0,ffe,7fe,ffe,7fe,109,657,1,1,1,1
