Sample in Buffer,Sample in Window,TRIGGER,DAC_I[11:0],DAC_Q[11:0],tx_serial,I_16M[15:0],Q_16M[15:0],error_tdata[15:0],feedback_tdata[15:0],I_1M[15:0],Q_1M[15:0],clk_1M_out,gardner_error[15:0],gardner_increment[15:0],BPSK_raw,QPSK_raw[1:0],SD_flag,PD_flag,BD_flag,rx_data_tlast,BPSK,QPSK[1:0],rx_serial,Rx_valid,ADC_I[11:0],ADC_Q[11:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX,HEX,SIGNED,SIGNED,HEX,BINARY,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,SIGNED,SIGNED
0,0,0,2046,2,0,-1841,-1325,-9,0,064d,04f4,0,49,8193,0,00,1,1,1,0,0,0,1,0,-1313,-40
1,1,0,-2,2046,0,-1940,-1252,14,0,064d,04f4,0,15,8193,0,00,1,1,1,0,0,0,1,0,-1505,-793
2,2,0,-2,2046,0,-1940,-1252,14,0,064d,04f4,0,-23,8193,0,00,1,1,1,0,0,0,1,0,-1506,-1503
3,3,0,-2046,-2,0,-2014,-1209,24,1,064d,04f4,0,-47,8193,0,00,1,1,1,0,0,0,1,0,924,-446
4,4,0,-2046,-2,0,-2014,-1209,24,1,064d,04f4,0,6,8193,0,00,1,1,1,0,0,0,1,0,2047,768
5,5,0,2,-2046,0,-1869,-1354,33,2,064d,04f4,0,-8,8193,0,00,1,1,1,0,0,0,1,0,1480,1167
6,6,0,2,-2046,0,-1869,-1354,33,2,064d,04f4,0,-18,8193,0,00,1,1,1,0,0,0,1,0,54,734
7,7,0,2046,2,0,-1912,-1368,39,5,064d,04f4,0,-24,8193,0,00,1,1,1,0,0,0,1,0,54,734
8,8,0,2046,2,0,-1912,-1368,39,5,064d,04f4,0,-23,8193,0,00,1,1,1,0,0,0,1,0,-744,100
9,9,0,-2,2046,0,-1773,-1261,25,7,064d,04f4,0,-19,8193,0,00,1,1,1,0,0,0,1,0,-1444,-104
10,10,0,-2,2046,0,-1773,-1261,25,7,064d,04f4,0,-14,8193,0,00,1,1,1,0,0,0,1,0,-1275,-649
11,11,0,-2046,-2,0,-1587,-1193,27,10,064d,04f4,0,-6,8193,0,00,1,1,1,0,0,0,1,0,809,-449
12,12,0,-2046,-2,0,-1587,-1193,27,10,064d,04f4,0,5,8193,0,00,1,1,1,0,0,0,1,0,2047,612
13,13,0,2,-2046,0,-1623,-953,23,13,064d,04f4,0,-36,8193,0,00,1,1,1,0,0,0,1,0,1409,1224
14,14,0,2,-2046,0,-1623,-953,23,13,064d,04f4,0,2,8193,0,00,1,1,1,0,0,0,1,0,124,763
15,15,0,2046,2,0,-1212,-599,16,14,064d,04f4,0,32,8193,0,00,1,1,1,0,0,0,1,0,-770,36
16,16,0,2046,2,0,-1212,-599,16,14,064d,04f4,0,-12,8193,0,00,1,1,1,0,0,0,1,0,-1358,-22
17,17,0,-2,2046,0,-1067,-332,26,15,064d,04f4,0,-45,8193,0,00,1,1,1,0,0,0,1,0,-1504,-789
18,18,0,-2,2046,0,-1067,-332,26,15,064d,04f4,0,-3,8193,0,00,1,1,1,0,0,0,1,0,-1429,-1516
19,19,0,-2046,-2,0,-410,457,16,14,064d,04f4,0,20,8193,0,00,1,1,1,0,0,0,1,0,863,-454
